"val","TempMedia","TempMin","TempMax","pais"
1958,8.97016666666667,-2.776,21.135,"United States"
1958,20.7450833333333,13.678,25.625,"Mexico"
1959,8.82533333333333,-4.273,21.11,"United States"
1959,20.75125,15.326,25.327,"Mexico"
1960,8.69225,-3.791,21.568,"United States"
1960,20.7465833333333,14.635,26.039,"Mexico"
1961,8.642,-4.009,21.153,"United States"
1961,20.7239166666667,14.646,25.027,"Mexico"
1962,8.9565,-4.849,20.931,"United States"
1962,20.9933333333333,14.177,25.782,"Mexico"
1963,9.08,-5.482,21.405,"United States"
1963,20.8794166666667,14.651,25.211,"Mexico"
1964,8.49166666666667,-3.718,21.909,"United States"
1964,20.5863333333333,14.037,25.337,"Mexico"
1965,8.64766666666667,-3.194,20.889,"United States"
1965,20.7345,15.342,25.105,"Mexico"
1966,8.483,-5.76,22.124,"United States"
1966,20.3896666666667,13.608,25.472,"Mexico"
1967,8.902,-2.359,20.935,"United States"
1967,20.6833333333333,14.289,25.242,"Mexico"
1968,8.55325,-4.093,21.389,"United States"
1968,20.3160833333333,14.893,24.848,"Mexico"
1969,8.77083333333333,-4.523,21.605,"United States"
1969,20.9588333333333,15.646,25.886,"Mexico"
1970,8.673,-5.642,21.56,"United States"
1970,20.4900833333333,14.483,25.146,"Mexico"
1971,8.4425,-5.185,20.903,"United States"
1971,20.6403333333333,15.925,24.801,"Mexico"
1972,8.42808333333333,-4.279,21.074,"United States"
1972,20.975,15.885,24.821,"Mexico"
1973,8.93466666666667,-4.54,21.242,"United States"
1973,20.4961666666667,14.235,24.871,"Mexico"
1974,8.81591666666667,-3.583,21.704,"United States"
1974,20.6315,15.06,25.042,"Mexico"
1975,8.431,-3.216,21.53,"United States"
1975,20.4493333333333,15.032,24.819,"Mexico"
1976,8.65125,-3.876,21.201,"United States"
1976,20.1456666666667,14.442,24.832,"Mexico"
1977,9.26983333333333,-5.601,22.083,"United States"
1977,20.84125,14.691,25.392,"Mexico"
1978,8.75141666666667,-4.646,21.733,"United States"
1978,20.7555,15.016,25.523,"Mexico"
1979,8.57158333333333,-6.62,21.439,"United States"
1979,20.569,14.258,25.835,"Mexico"
1980,9.1355,-3.517,22.544,"United States"
1980,21.0356666666667,15.664,26.521,"Mexico"
1981,9.7215,-1.81,21.562,"United States"
1981,20.75375,14.321,24.988,"Mexico"
1982,8.5395,-5.793,21.383,"United States"
1982,21.0510833333333,14.963,25.599,"Mexico"
1983,8.91233333333333,-5.138,21.787,"United States"
1983,20.6754166666667,14.617,25.445,"Mexico"
1984,8.81116666666667,-4.207,21.264,"United States"
1984,20.5115,14.521,24.515,"Mexico"
1985,8.587,-4.019,21.758,"United States"
1985,20.6039166666667,13.758,25.006,"Mexico"
1986,9.5595,-1.274,21.544,"United States"
1986,20.8506666666667,15.32,25.068,"Mexico"
1987,9.62816666666667,-2.525,21.479,"United States"
1987,20.4551666666667,14.297,25.054,"Mexico"
1988,9.27533333333333,-4.263,22.243,"United States"
1988,20.7360833333333,14.493,24.811,"Mexico"
1989,8.87308333333333,-4.068,21.974,"United States"
1989,20.9651666666667,14.268,25.598,"Mexico"
1990,9.52158333333333,-3.401,21.605,"United States"
1990,20.9608333333333,15.785,26.144,"Mexico"
1991,9.49366666666667,-3.859,21.616,"United States"
1991,20.8396666666667,15.434,25.074,"Mexico"
1992,9.05633333333333,-2.906,20.595,"United States"
1992,20.6503333333333,14.186,25.652,"Mexico"
1993,8.86725,-3.498,21.254,"United States"
1993,20.9388333333333,16.084,25.217,"Mexico"
1994,9.27033333333333,-3.729,21.694,"United States"
1994,21.32575,15.577,25.834,"Mexico"
1995,9.331,-2.139,21.632,"United States"
1995,21.3706666666667,15.601,25.645,"Mexico"
1996,8.75433333333333,-4.316,21.636,"United States"
1996,21.1321666666667,15.287,25.778,"Mexico"
1997,9.17291666666667,-4.012,21.597,"United States"
1997,20.8985833333333,14.688,25.779,"Mexico"
1998,10.1411666666667,-1.69,22.626,"United States"
1998,21.53175,15.995,26.926,"Mexico"
1999,9.567,-2.55,21.923,"United States"
1999,21.1285,14.837,25.282,"Mexico"
2000,9.64975,-3.459,21.605,"United States"
2000,21.2320833333333,15.186,25.812,"Mexico"
2001,9.78558333333333,-2.052,21.907,"United States"
2001,21.133,14.828,25.567,"Mexico"
2002,9.81616666666667,-1.166,22.675,"United States"
2002,21.225,15.467,25.705,"Mexico"
2003,9.75508333333333,-1.82,22.499,"United States"
2003,21.3294166666667,15.204,25.519,"Mexico"
2004,9.6675,-3.841,21.663,"United States"
2004,20.9248333333333,15.149,25.417,"Mexico"
2005,9.89266666666667,-1.884,22.478,"United States"
2005,21.4135,16.127,26.095,"Mexico"
2006,9.9745,-0.574,22.911,"United States"
2006,21.4180833333333,15.255,25.751,"Mexico"
2007,9.8375,-2.959,22.352,"United States"
2007,21.0793333333333,14.467,25.431,"Mexico"
2008,8.95141666666667,-3.883,21.69,"United States"
2008,21.08525,15.258,25.837,"Mexico"
2009,9.13708333333333,-3.569,21.463,"United States"
2009,21.5460833333333,15.183,26.518,"Mexico"
2010,9.50558333333333,-3.61,22.078,"United States"
2010,20.8529166666667,14.67,26.187,"Mexico"
2011,9.54991666666667,-3.507,22.722,"United States"
2011,21.5993333333333,15.14,26.493,"Mexico"
2012,10.2610833333333,-2.268,23.008,"United States"
2012,21.6524166666667,16.185,26.097,"Mexico"
2013,11.2971111111111,-2.155,22.074,"United States"
2013,22.2192222222222,15.299,26.225,"Mexico"
